挂牌代码,债券全称,上市日期,发行量,计息日期,到期日期,票面利率,UK
10107,21国债⑺,2001/8/20,239.6,2001/7/31,2021/7/31,4.26,402215b300000001
10213,02国债⒀,2002/10/9,240,2002/9/20,2017/9/20,2.6,4022158500000002
10303,03国债⑶,2003/4/25,260,2003/4/17,2023/4/17,3.4,402215c800000003
10504,05国债⑷,2005/5/25,339.2,2005/5/15,2025/5/15,4.11,402215e100000004
10512,05国债⑿,2005/11/24,344.1,2005/11/15,2020/11/15,3.65,402215ab00000005
10609,06国债⑼,2006/7/5,310.9,2006/6/26,2026/6/26,3.7,402215ee00000006
10616,06国债⒃,2006/10/9,300,2006/9/26,2016/9/26,2.92,4022157900000007
10619,06国债⒆,2006/11/23,300,2006/11/15,2021/11/15,3.27,402215b700000008
10703,07国债03,2007/4/2,300,2007/3/22,2017/3/22,3.4,4022157f00000009
10706,07国债06,2007/5/28,300,2007/5/17,2037/5/17,4.27,402216710000000a
10710,07国债10,2007/7/4,350.7,2007/6/25,2017/6/25,4.4,402215820000000b
10713,07国债13,2007/8/24,280,2007/8/16,2027/8/16,4.52,402215fc0000000c
19002,10国债02,2010/2/10,260,2010/2/4,2020/2/4,3.43,402215a20000000d
19003,10国债03,2010/3/5,240,2010/3/1,2040/3/1,4.08,402216930000000e
19005,10国债05,2010/3/17,260,2010/3/11,2017/3/11,2.92,4022157f0000000f
19007,10国债07,2010/3/31,260,2010/3/25,2020/3/25,3.36,402215a300000010
19009,10国债09,2010/4/21,280,2010/4/15,2030/4/15,3.96,4022161c00000011
19010,10国债10,2010/4/28,280,2010/4/22,2017/4/22,3.01,4022158000000012
19012,10国债12,2010/5/19,280,2010/5/13,2020/5/13,3.25,402215a500000013
19014,10国债14,2010/5/28,280,2010/5/24,2060/5/24,4.03,4022178500000014
19015,10国债15,2010/6/2,283.1,2010/5/27,2017/5/27,2.83,4022158100000015
19018,10国债18,2010/6/25,280,2010/6/21,2040/6/21,4.03,4022169600000016
19019,10国债19,2010/6/30,280.1,2010/6/24,2020/6/24,3.41,402215a600000017
19022,10国债22,2010/7/28,281.9,2010/7/22,2017/7/22,2.76,4022158300000018
19023,10国债23,2010/8/4,280,2010/7/29,2040/7/29,3.96,4022169700000019
19024,10国债24,2010/8/11,304.4,2010/8/5,2020/8/5,3.28,402215a80000001a
19026,10国债26,2010/8/20,280,2010/8/16,2040/8/16,3.96,402216980000001b
19027,10国债27,2010/8/25,280,2010/8/19,2017/8/19,2.81,402215840000001c
19029,10国债29,2010/9/8,280,2010/9/2,2030/9/2,3.82,402216210000001d
19031,10国债31,2010/9/21,282.6,2010/9/16,2020/9/16,3.29,402215a90000001e
19032,10国债32,2010/10/20,287.1,2010/10/14,2017/10/14,3.1,402215860000001f
19034,10国债34,2010/11/3,280,2010/10/28,2020/10/28,3.67,402215aa00000020
19037,10国债37,2010/11/24,280,2010/11/18,2060/11/18,4.4,4022178b00000021
19038,10国债38,2010/12/1,306.4,2010/11/25,2017/11/25,3.83,4022158700000022
19040,10国债40,2010/12/15,280,2010/12/9,2040/12/9,4.23,4022169c00000023
19041,10国债41,2010/12/22,307.8,2010/12/16,2020/12/16,3.77,402215ac00000024
19102,11国债02,2011/1/26,620.6,2011/1/20,2021/1/20,3.94,402215ad00000025
19103,11国债03,2011/2/1,625.2,2011/1/27,2018/1/27,3.83,4022158900000026
19105,11国债05,2011/3/2,280,2011/2/24,2041/2/24,4.31,4022169e00000027
19106,11国债06,2011/3/9,300,2011/3/3,2018/3/3,3.75,4022158b00000028
19108,11国债08,2011/3/23,300,2011/3/17,2021/3/17,3.83,402215af00000029
19110,11国债10,2011/5/5,580,2011/4/28,2031/4/28,4.15,402216280000002a
19112,11国债12,2011/6/1,300,2011/5/26,2061/5/26,4.48,402217910000002b
19115,11国债15,2011/6/22,619.3,2011/6/16,2021/6/16,3.99,402215b20000002c
19116,11国债16,2011/6/29,580,2011/6/23,2041/6/23,4.5,402216a20000002d
19117,11国债17,2011/7/13,600,2011/7/7,2018/7/7,3.7,4022158f0000002e
19119,11国债19,2011/8/24,630.5,2011/8/18,2021/8/18,3.93,402215b40000002f
19121,11国债21,2011/10/19,586.3,2011/10/13,2018/10/13,3.65,4022159200000030
19122,11国债22,2011/10/26,293,2011/10/20,2016/10/20,3.55,4022157a00000031
19123,11国债23,2011/11/16,280,2011/11/10,2061/11/10,4.33,4022179700000032
19124,11国债24,2011/11/23,560.5,2011/11/17,2021/11/17,3.57,402215b700000033
19203,12国债03,2012/2/22,580,2012/2/16,2017/2/16,3.14,4022157e00000034
19204,12国债04,2012/2/29,860,2012/2/23,2022/2/23,3.51,402215ba00000035
19205,12国债05,2012/3/14,946.7,2012/3/8,2019/3/8,3.41,4022159700000036
19206,12国债06,2012/4/27,280,2012/4/23,2032/4/23,4.03,4022163400000037
19208,12国债08,2012/5/23,280,2012/5/17,2062/5/17,4.25,4022179d00000038
19209,12国债09,2012/5/30,1002.2,2012/5/24,2022/5/24,3.36,402215bd00000039
19210,12国债10,2012/6/13,943.5,2012/6/7,2019/6/7,3.14,4022159a0000003a
19212,12国债12,2012/7/4,280,2012/6/28,2042/6/28,4.07,402216ae0000003b
19213,12国债13,2012/8/8,280,2012/8/2,2042/8/2,4.12,402216b00000003c
19214,12国债14,2012/8/22,560.6,2012/8/16,2017/8/16,2.95,402215840000003d
19215,12国债15,2012/8/29,861.4,2012/8/23,2022/8/23,3.39,402215c00000003e
19216,12国债16,2012/9/12,828.2,2012/9/6,2019/9/6,3.25,4022159d0000003f
19218,12国债18,2012/10/8,280,2012/9/27,2032/9/27,4.1,4022163900000040
19220,12国债20,2012/11/21,260,2012/11/15,2062/11/15,4.35,402217a300000041
19221,12国债21,2012/12/19,290.1,2012/12/13,2022/12/13,3.55,402215c400000042
19301,13国债01,2013/1/16,480,2013/1/10,2018/1/10,3.15,4022158900000043
19303,13国债03,2013/1/30,820,2013/1/24,2020/1/24,3.42,402215a100000044
19305,13国债05,2013/2/27,787.9,2013/2/21,2023/2/21,3.52,402215c600000045
19308,13国债08,2013/4/24,917.2,2013/4/18,2020/4/18,3.29,402215a400000046
19309,13国债09,2013/4/26,260,2013/4/22,2033/4/22,3.99,4022164000000047
19310,13国债10,2013/5/24,200,2013/5/20,2063/5/20,4.24,402217a900000048
19311,13国债11,2013/5/29,900,2013/5/23,2023/5/23,3.38,402215c900000049
19313,13国债13,2013/6/5,600,2013/5/30,2018/5/30,3.09,4022158d0000004a
19315,13国债15,2013/7/17,901.5,2013/7/11,2020/7/11,3.46,402215a70000004b
19316,13国债16,2013/8/16,260,2013/8/12,2033/8/12,4.32,402216440000004c
19317,13国债17,2013/8/21,600.2,2013/8/15,2016/8/15,3.77,402215780000004d
19318,13国债18,2013/8/28,1118.8,2013/8/22,2023/8/22,4.08,402215cc0000004e
