基金代码,基金简称,基金管理人,UK编码
501000,国金鑫新,国金通用基金管理有限公司,4023300000000001
501001,财通精选,财通基金管理有限公司,4023300000000002
501002,能源互联,长信基金管理有限责任公司,4023300000000003
501005,精准医疗,汇添富基金管理股份有限公司,4023300000000004
501006,精准医C,汇添富基金管理股份有限公司,4023300000000005
501015,财通升级,财通基金管理有限公司,4023300000000006
501018,南方原油,南方基金管理有限公司,4023300000000007
501021,香港中小,华宝兴业基金管理有限公司,4023300000000008
502000,500等权,西部利得基金管理有限公司,4023300000000009
502003,军工分级,易方达基金管理有限公司,402330000000000a
502006,国企改革,易方达基金管理有限公司,402330000000000b
502010,证券分级,易方达基金管理有限公司,402330000000000c
502013,一带一路,长盛基金,402330000000000d
502016,带路分级,长信基金管理有限责任公司,402330000000000e
502020,国金50,国金通用基金管理有限公司,402330000000000f
502023,钢铁分级,鹏华基金管理有限公司,4023300000000010
502026,新丝路,鹏华基金管理有限公司,4023300000000011
502030,高铁分级,中海基金管理有限公司,4023300000000012
502036,互联金融,大成基金管理有限公司,4023300000000013
502040,上50分级,长盛基金管理有限公司,4023300000000014
502048,50分级,易方达基金管理有限公司,4023300000000015
502053,券商分级,长盛基金管理有限公司,4023300000000016
502056,医疗分级,广发基金管理有限公司,4023300000000017
