代码,名称,行权价,UK编码
10000672,50ETF购3月2150,2.15,402b357f00010004
10000674,50ETF购3月2250,2.25,402b357f00030004
10000671,50ETF购3月2100,2.1,402b357f00000004
10000673,50ETF购3月2200,2.2,402b357f00020004
10000675,50ETF购3月2300,2.3,402b357f00040004
10000661,50ETF购12月2300,2.3,402b357c00070004
10000629,50ETF购12月1950,1.95,402b357c00060004
10000615,50ETF购12月2050,2.05,402b357c00000004
10000625,50ETF购12月2000,2,402b357c00050004
10000619,50ETF购12月2250,2.25,402b357c00040004
10000616,50ETF购12月2100,2.1,402b357c00010004
10000617,50ETF购12月2150,2.15,402b357c00020004
10000669,50ETF购12月2350,2.35,402b357c00080004
10000618,50ETF购12月2200,2.2,402b357c00030004
10000555,50ETF购9月1850,1.85,402b357900000004
10000556,50ETF购9月1900,1.9,402b357900010004
10000557,50ETF购9月1950,1.95,402b357900020004
10000569,50ETF购9月1800,1.8,402b357900060004
10000558,50ETF购9月2000,2,402b357900030004
10000559,50ETF购9月2050,2.05,402b357900040004
10000571,50ETF购9月2100,2.1,402b357900070004
10000573,50ETF购9月2150,2.15,402b357900080004
10000595,50ETF购9月2250,2.25,402b3579000a0004
10000591,50ETF购9月2200,2.2,402b357900090004
10000667,50ETF购9月2350,2.35,402b357900050004
10000599,50ETF购9月2300,2.3,402b3579000b0004
10000649,50ETF购8月2200,2.2,402b357800400004
10000655,50ETF购8月2250,2.25,402b357800500004
10000659,50ETF购8月2300,2.3,402b357800600004
10000648,50ETF购8月2150,2.15,402b357800300004
10000665,50ETF购8月2350,2.35,402b357800700004
10000646,50ETF购8月2050,2.05,402b357800100004
10000647,50ETF购8月2100,2.1,402b357800200004
10000645,50ETF购8月2000,2,402b357800000004
