A股代码,公司简称,UK
600000.SH,浦发银行,4021100000000460
600004.SH,白云机场,4021100000000465
600005.SH,武钢股份,4021100000000467
600006.SH,东风汽车,4021100000000468
600007.SH,中国国贸,4021100000000469
600008.SH,首创股份,402110000000046a
600009.SH,上海机场,402110000000046b
600010.SH,包钢股份,402110000000046d
600011.SH,华能国际,402110000000046e
600012.SH,皖通高速,4021100000000470
600015.SH,华夏银行,4021100000000473
600016.SH,民生银行,4021100000000475
600017.SH,日照港,4021100000001259
600018.SH,上港集团,40211000000012b4
600019.SH,宝钢股份,4021100000000478
600020.SH,中原高速,4021100000000479
600021.SH,上海电力,402110000000047b
600022.SH,山东钢铁,4021100000000b49
600023.SH,浙能电力,4021100000007b7a
600026.SH,中海发展,402110000000047d
600027.SH,华电国际,4021100000000bee
600028.SH,中国石化,402110000000047f
600029.SH,南方航空,4021100000000482
600030.SH,中信证券,4021100000000485
600031.SH,三一重工,4021100000000487
600033.SH,福建高速,4021100000000489
600035.SH,楚天高速,402110000000048a
600036.SH,招商银行,402110000000048c
600037.SH,歌华有线,402110000000048d
600038.SH,中直股份,402110000000048f
600039.SH,四川路桥,4021100000000490
600048.SH,保利地产,402110000000114f
600050.SH,中国联通,4021100000000492
600051.SH,宁波联合,4021100000000494
600052.SH,浙江广厦,4021100000000495
600053.SH,九鼎投资,4021100000000496
600054.SH,黄山旅游,4021100000000497
600055.SH,华润万东,4021100000000499
600056.SH,中国医药,402110000000049a
600057.SH,象屿股份,402110000000049b
600058.SH,五矿发展,402110000000049c
600059.SH,古越龙山,402110000000049d
600060.SH,海信电器,402110000000049e
600061.SH,国投安信,402110000000049f
600062.SH,华润双鹤,40211000000004a0
600063.SH,皖维高新,40211000000004a1
600064.SH,南京高科,40211000000004a2
600066.SH,宇通客车,40211000000004a4
600067.SH,冠城大通,40211000000004a5
600068.SH,葛洲坝,40211000000004a6
600069.SH,银鸽投资,40211000000004a7
600070.SH,浙江富润,40211000000004a8
600071.SH,凤凰光学,40211000000004a9
600072.SH,钢构工程,40211000000004aa
600073.SH,上海梅林,40211000000004ab
