优先股简称,优先股代码,发行人全称,发行人公司代码,UK,
华夏优1,360020,华夏银行股份有限公司,600015,4021200000000001,
南银优1,360019,南京银行股份有限公司,601009,4021200000000002,
北银优1,360018,北京银行股份有限公司,601169,4021200000000003,
工行优1,360011,中国工商银行股份有限公司,601398,4021200000000004,
中交优2,360017,中国交通建设股份有限公司,601800,4021200000000005,
电建优1,360016,中国电力建设股份有限公司,601669,4021200000000006,
中交优1,360015,中国交通建设股份有限公司,601800,4021200000000007,
中原优1,360014,河南中原高速公路股份有限公司,600020,4021200000000008,
兴大优1,360013,中国光大银行股份有限公司,601818,4021200000000009,
兴业优2,360012,兴业银行股份有限公司,601166,402120000000000a,
中行优2,360010,中国银行股份有限公司,601988,402120000000000b,
农行优2,360009,中国农业银行股份有限公司,602188,402120000000000,
浦发优2,360008,上海浦东发展银行股份有限公司,600000,402120000000000d,
中建优1,360007,中国建筑股份有限公司,601668,402120000000000e,
康美优1,360006,康美药业股份有限公司,600518,402120000000000f,
兴业优1,360005,兴业银行股份有限公司,601166,4021200000000010,
浦发优1,360003,上海浦东发展银行股份有限公司,600000,4021200000000011,
中行优1,360002,中国股份银行股份有限公司,601988,4021200000000012,
农行优1,360001,中国农业银行股份有限公司,601288,4021200000000013,
