国债简称,国债代码,到期日,UK
国债0213,100213,2017/9/20,4012158500000001
国债0303,100303,2023/4/17,401215c800000002
国债0504,100504,2025/5/15,401215e100000003
国债0512,100512,2020/11/15,401215ab00000004
国债0609,100609,2026/6/26,401215ee00000005
国债0616,100616,2016/9/26,4012157900000006
国债0619,100619,2021/11/15,401215b700000007
国债0703,100703,2017/3/22,4012157f00000008
国债0706,100706,2037/5/17,4012167100000009
国债0710,100710,2017/6/25,401215820000000a
国债0713,100713,2027/8/16,401215fc0000000b
国债0802,100802,2023/2/28,401215c60000000c
国债0803,100803,2018/3/20,4012158b0000000d
国债0806,100806,2038/5/8,4012167d0000000e
国债0810,100810,2018/6/23,4012158e0000000f
国债0813,100813,2028/8/11,4012160800000010
国债0818,100818,2018/9/22,4012159100000011
国债0820,100820,2038/10/23,4012168200000012
国债0823,100823,2023/11/27,401215cf00000013
国债0825,100825,2018/12/15,4012159400000014
国债0902,100902,2029/2/19,4012160e00000015
国债0903,100903,2019/3/12,4012159700000016
国债0905,100905,2039/4/9,4012168800000017
国债0907,100907,2019/5/7,4012159900000018
国债0911,100911,2024/6/11,401215d600000019
国债0912,100912,2019/6/18,4012159a0000001a
国债0916,100916,2019/7/23,4012159b0000001b
国债0919,100919,2016/8/20,401215780000001c
国债0920,100920,2029/8/27,401216140000001d
国债0923,100923,2019/9/17,4012159d0000001e
国债0925,100925,2039/10/15,4012168e0000001f
国债0926,100926,2016/10/22,4012157a00000020
国债0927,100927,2019/11/5,4012159f00000021
国债0930,100930,1959/11/30,401212cf00000022
国债0932,100932,2016/12/17,4012157c00000023
国债1002,101002,2020/2/4,401215a200000024
国债1003,101003,2040/3/1,4012169300000025
国债1005,101005,2017/3/11,4012157f00000026
国债1007,101007,2020/3/25,401215a300000027
国债1009,101009,2030/4/15,4012161c00000028
国债1010,101010,2017/4/22,4012158000000029
国债1012,101012,2020/5/13,401215a50000002a
国债1014,101014,1960/5/24,401212d50000002b
国债1015,101015,2017/5/27,401215810000002c
国债1018,101018,2040/6/21,401216960000002d
国债1019,101019,2020/6/24,401215a60000002e
国债1022,101022,2017/7/22,401215830000002f
国债1023,101023,2040/7/29,4012169700000030
国债1024,101024,2020/8/5,401215a800000031
国债1026,101026,2040/8/16,4012169800000032
国债1027,101027,2017/8/19,4012158400000033
国债1029,101029,2030/9/2,4012162100000034
国债1031,101031,2020/9/16,401215a900000035
国债1032,101032,2017/10/14,4012158600000036
国债1034,101034,2020/10/28,401215aa00000037
国债1037,101037,1960/11/18,401212db00000038
国债1038,101038,2017/11/25,4012158700000039
国债1040,101040,2040/12/9,4012169c0000003a
国债1041,101041,2020/12/16,401215ac0000003b
国债1102,101102,2021/1/20,401215ad0000003c
国债1103,101103,2018/1/27,401215890000003d
国债1105,101105,2041/2/24,4012169e0000003e
国债1106,101106,2018/3/3,4012158b0000003f
国债1108,101108,2021/3/17,401215af00000040
国债1110,101110,2031/4/28,4012162800000041
国债1112,101112,1961/5/26,401212e100000042
国债1115,101115,2021/6/16,401215b200000043
国债1116,101116,2041/6/23,401216a200000044
国债1117,101117,2018/7/7,4012158f00000045
国债1119,101119,2021/8/18,401215b400000046
国债1121,101121,2018/10/13,4012159200000047
国债1122,101122,2016/10/20,4012157a00000048
国债1123,101123,1961/11/10,401212e700000049
国债1124,101124,2021/11/17,401215b70000004a
国债1203,101203,2017/2/16,4012157e0000004b
国债1204,101204,2022/2/23,401215ba0000004c
国债1205,101205,2019/3/8,401215970000004d
国债1206,101206,2032/4/23,401216340000004e
国债1208,101208,1962/5/17,401212ed0000004f
国债1209,101209,2022/5/24,401215bd00000050
国债1210,101210,2019/6/7,4012159a00000051
国债1212,101212,2042/6/28,401216ae00000052
国债1213,101213,2042/8/2,401216b000000053
国债1214,101214,2017/8/16,4012158400000054
国债1215,101215,2022/8/23,401215c000000055
国债1216,101216,2019/9/6,4012159d00000056
国债1218,101218,2032/9/27,4012163900000057
国债1220,101220,1962/11/15,401212f300000058
国债1221,101221,2022/12/13,401215c400000059
国债1301,101301,2018/1/10,401215890000005a
国债1303,101303,2020/1/24,401215a10000005b
国债1305,101305,2023/2/21,401215c60000005c
国债1308,101308,2020/4/18,401215a40000005d
国债1309,101309,2033/4/22,401216400000005e
国债1310,101310,1963/5/20,401212f90000005f
国债1311,101311,2023/5/23,401215c900000060
国债1313,101313,2018/5/30,4012158d00000061
国债1315,101315,2020/7/11,401215a700000062
国债1316,101316,2033/8/12,4012164400000063
国债1317,101317,2016/8/15,4012157800000064
国债1318,101318,2023/8/22,401215cc00000065
国债1319,101319,2043/9/16,401216bd00000066
国债1320,101320,2020/10/17,401215aa00000067
国债1323,101323,2018/11/7,4012159300000068
国债1324,101324,1963/11/18,401212ff00000069
国债1325,101325,2043/12/9,401216c00000006a
国债1401,101401,2019/1/7,401215950000006b
国债1403,101403,2021/1/16,401215ad0000006c
国债1404,101404,2017/3/13,4012157f0000006d
国债1405,101405,2024/3/20,401215d30000006e
国债1406,101406,2021/4/3,401215b00000006f
国债1408,101408,2019/4/24,4012159800000070
国债1409,101409,2034/4/28,4012164c00000071
国债1410,101410,1964/5/26,4012130500000072
国债1412,101412,2024/6/19,401215d600000073
国债1413,101413,2021/7/3,401215b300000074
国债1416,101416,2044/7/24,401216c700000075
国债1417,101417,2034/8/11,4012165000000076
国债1419,101419,2016/8/18,4012157800000077
国债1420,101420,2017/9/11,4012158500000078
国债1421,101421,2024/9/18,401215d900000079
国债1424,101424,2021/10/23,401215b60000007a
国债1425,101425,2044/10/27,401216ca0000007b
国债1426,101426,2019/10/30,4012159e0000007c
国债1427,101427,1964/11/24,4012130b0000007d
国债1429,101429,2024/12/18,401215dc0000007e
国债1430,101430,2016/12/25,4012157c0000007f
国债1502,101502,2022/1/22,401215b900000080
国债1503,101503,2020/2/5,401215a200000081
国债1504,101504,2018/3/26,4012158b00000082
国债1505,101505,2025/4/9,401215e000000083
国债1507,101507,2022/4/16,401215bc00000084
国债1508,101508,2035/4/27,4012165800000085
国债1510,101510,1965/5/25,4012131100000086
国债1511,101511,2020/5/28,401215a500000087
国债1512,101512,2018/6/11,4012158e00000088
国债1513,101513,2017/6/25,4012158200000089
国债1514,101514,2022/7/9,401215bf0000008a
国债1516,101516,2025/7/16,401215e30000008b
国债1517,101517,2045/7/27,401216d30000008c
国债1518,101518,2016/8/10,401215780000008d
国债1519,101519,2020/9/8,401215a90000008e
国债1520,101520,2016/9/21,401215790000008f
国债1521,101521,2035/9/22,4012165d00000090
国债1522,101522,2018/9/24,4012159100000091
国债1523,101523,2025/10/15,401215e600000092
国债1524,101524,2016/10/19,4012157a00000093
国债1525,101525,2045/10/20,401216d600000094
国债1526,101526,2022/10/22,401215c200000095
国债1527,101527,2016/11/9,4012157b00000096
国债1528,101528,1965/11/23,4012131700000097
国债1601,101601,2017/1/7,4012157d00000098
国债1602,101602,2021/1/14,401215ad00000099
国债1603,101603,2019/1/28,401215950000009a
国债1604,101604,2026/1/28,401215e90000009b
国债1605,101605,2017/2/18,4012157e0000009c
国债1606,101606,2023/3/17,401215c70000009d
国债1607,101607,2021/4/14,401215b00000009e
国债1608,101608,2046/4/25,401216dc0000009f
国债1609,101609,2019/4/28,40121598000000a0
国债1610,101610,2026/5/5,401215ed000000a1
国债1611,101611,2017/5/5,40121581000000a2
国债1612,101612,2018/5/19,4012158d000000a3
国债1613,101613,1966/5/23,4012131d000000a4
国债1614,101614,2023/6/16,401215ca000000a5
国债1615,101615,2021/7/14,401215b3000000a6
国债1616,101616,2019/7/28,4012159b000000a7
国债917,101917,2021/7/31,401215b3000000a8
贴债1607,108104,2016/8/22,40121578000000a9
贴债1611,108108,2016/9/12,40121579000000aa
贴债1617,108114,2016/10/17,4012157a000000ab
贴债1620,108118,2016/8/8,40121578000000ac
贴债1622,108119,2016/11/14,4012157b000000ad
贴债1621,108120,2016/8/15,40121578000000ae
贴债1623,108121,2016/8/22,40121578000000af
贴债1624,108122,2016/8/29,40121578000000b0
贴债1625,108123,2016/9/5,40121579000000b1
贴债1627,108124,2016/12/19,4012157c000000b2
贴债1626,108125,2016/9/19,40121579000000b3
贴债1628,108126,2016/9/26,40121579000000b4
贴债1629,108127,2016/10/3,4012157a000000b5
贴债1630,108128,2016/10/10,4012157a000000b6
贴债1632,108129,2017/1/16,4012157d000000b7
贴债1631,108130,2016/10/17,4012157a000000b8
贴债1633,108131,2016/10/24,4012157a000000b9
贴债1634,108132,2016/10/30,4012157a000000ba
