开放式基金简称,开放式基金代码,UK
瑞和小康,150008,4013200000000001
瑞和远见,150009,4013200000000002
中证100A,150012,4013200000000003
中证100B,150013,4013200000000004
合润A,150016,4013200000000005
合润B,150017,4013200000000006
银华稳进,150018,4013200000000007
银华锐进,150019,4013200000000008
汇利A,150020,4013200000000009
汇利B,150021,401320000000000a
深成指A,150022,401320000000000b
深成指B,150023,401320000000000c
中证500A,150028,401320000000000d
中证500B,150029,401320000000000e
中证90A,150030,401320000000000f
中证90B,150031,4013200000000010
多利优先,150032,4013200000000011
多利进取,150033,4013200000000012
建信稳健,150036,4013200000000013
建信进取,150037,4013200000000014
鼎利A,150039,4013200000000015
鼎利B,150040,4013200000000016
消费A,150047,4013200000000017
消费B,150048,4013200000000018
消费收益,150049,4013200000000019
消费进取,150050,401320000000001a
沪深300A,150051,401320000000001b
沪深300B,150052,401320000000001c
泰达500A,150053,401320000000001d
泰达500B,150054,401320000000001e
500A,150055,401320000000001f
500B,150056,4013200000000020
中小300A,150057,4013200000000021
中小300B,150058,4013200000000022
资源A级,150059,4013200000000023
资源B级,150060,4013200000000024
同瑞A,150064,4013200000000025
同瑞B,150065,4013200000000026
互利A,150066,4013200000000027
互利B,150067,4013200000000028
诺安稳健,150073,4013200000000029
诺安进取,150075,401320000000002a
浙商稳健,150076,401320000000002b
浙商进取,150077,401320000000002c
深证100A,150083,401320000000002d
深证100B,150084,401320000000002e
中小板A,150085,401320000000002f
中小板B,150086,4013200000000030
金鹰500A,150088,4013200000000031
金鹰500B,150089,4013200000000032
成长A,150090,4013200000000033
成长B,150091,4013200000000034
诺德300A,150092,4013200000000035
诺德300B,150093,4013200000000036
泰信400A,150094,4013200000000037
泰信400B,150095,4013200000000038
商品A,150096,4013200000000039
商品B,150097,401320000000003a
资源A,150100,401320000000003b
资源B,150101,401320000000003c
HS300A,150104,401320000000003d
HS300B,150105,401320000000003e
中小A,150106,401320000000003f
中小B,150107,4013200000000040
同辉100A,150108,4013200000000041
同辉100B,150109,4013200000000042
深100A,150112,4013200000000043
深100B,150113,4013200000000044
房地产A,150117,4013200000000045
房地产B,150118,4013200000000046
银河优先,150121,4013200000000047
银河进取,150122,4013200000000048
建信50A,150123,4013200000000049
建信50B,150124,401320000000004a
医药A,150130,401320000000004b
医药B,150131,401320000000004c
德信A,150133,401320000000004d
德信B,150134,401320000000004e
国富100A,150135,401320000000004f
国富100B,150136,4013200000000050
中证800A,150138,4013200000000051
中证800B,150139,4013200000000052
国金300A,150140,4013200000000053
国金300B,150141,4013200000000054
互利债B,150142,4013200000000055
转债A级,150143,4013200000000056
转债B级,150144,4013200000000057
高贝塔A,150145,4013200000000058
高贝塔B,150146,4013200000000059
同利B,150147,401320000000005a
医药800A,150148,401320000000005b
医药800B,150149,401320000000005c
有色800A,150150,401320000000005d
有色800B,150151,401320000000005e
创业板A,150152,401320000000005f
创业板B,150153,4013200000000060
惠丰B,150154,4013200000000061
中银互B,150156,4013200000000062
金融A,150157,4013200000000063
金融B,150158,4013200000000064
通福B,150160,4013200000000065
惠鑫B,150161,4013200000000066
可转债A,150164,4013200000000067
可转债B,150165,4013200000000068
银华300A,150167,4013200000000069
银华300B,150168,401320000000006a
恒生A,150169,401320000000006b
恒生B,150170,401320000000006c
证券A,150171,401320000000006d
证券B,150172,401320000000006e
TMT中证A,150173,401320000000006f
TMT中证B,150174,4013200000000070
H股A,150175,4013200000000071
H股B,150176,4013200000000072
证保A,150177,4013200000000073
证保B,150178,4013200000000074
信息A,150179,4013200000000075
信息B,150180,4013200000000076
军工A,150181,4013200000000077
军工B,150182,4013200000000078
环保A,150184,4013200000000079
环保B,150185,401320000000007a
军工A级,150186,401320000000007b
军工B级,150187,401320000000007c
转债优先,150188,401320000000007d
转债进取,150189,401320000000007e
NCF环保A,150190,401320000000007f
NCF环保B,150191,4013200000000080
地产A,150192,4013200000000081
地产B,150193,4013200000000082
互联网A,150194,4013200000000083
互联网B,150195,4013200000000084
有色A,150196,4013200000000085
有色B,150197,4013200000000086
食品A,150198,4013200000000087
食品B,150199,4013200000000088
券商A,150200,4013200000000089
券商B,150201,401320000000008a
传媒A,150203,401320000000008b
传媒B,150204,401320000000008c
国防A,150205,401320000000008d
国防B,150206,401320000000008e
地产A端,150207,401320000000008f
地产B端,150208,4013200000000090
国企改A,150209,4013200000000091
国企改B,150210,4013200000000092
新能车A,150211,4013200000000093
新能车B,150212,4013200000000094
成长A级,150213,4013200000000095
成长B级,150214,4013200000000096
TMTA,150215,4013200000000097
TMTB,150216,4013200000000098
新能源A,150217,4013200000000099
新能源B,150218,401320000000009a
健康A,150219,401320000000009b
