uk,股票代码,uk(16进制)
000001.SZ,平安银行,4011100000000003
000002.SZ,万 科Ａ,4011100000000006
000004.SZ,国农科技,401110000000000e
000005.SZ,世纪星源,4011100000000011
000006.SZ,深振业Ａ,4011100000000014
000007.SZ,全新好,4011100000000017
000008.SZ,神州高铁,401110000000001a
000009.SZ,中国宝安,401110000000001c
000010.SZ,深华新,401110000000001f
000011.SZ,深物业A,4011100000000022
000012.SZ,南 玻Ａ,4011100000000026
000014.SZ,沙河股份,401110000000002b
000016.SZ,深康佳Ａ,401110000000002f
000017.SZ,深中华A,4011100000000031
000018.SZ,神州长城,4011100000000033
000019.SZ,深深宝Ａ,4011100000000035
000020.SZ,深华发Ａ,4011100000000037
000021.SZ,深科技,4011100000000039
000022.SZ,深赤湾Ａ,401110000000003a
000023.SZ,深天地Ａ,401110000000003c
000025.SZ,特 力Ａ,401110000000003f
000026.SZ,飞亚达Ａ,4011100000000041
000027.SZ,深圳能源,4011100000000043
000028.SZ,国药一致,4011100000000044
000029.SZ,深深房Ａ,4011100000000046
000030.SZ,富奥股份,4011100000000048
000031.SZ,中粮地产,401110000000004a
000032.SZ,深桑达Ａ,401110000000004b
000033.SZ,*ST新都,401110000000004c
000034.SZ,深信泰丰,401110000000004d
000035.SZ,中国天楹,401110000000004e
000036.SZ,华联控股,401110000000004f
000037.SZ,*ST南电A,4011100000000050
000038.SZ,深大通,4011100000000052
000039.SZ,中集集团,4011100000000053
000040.SZ,宝安地产,4011100000000055
000042.SZ,中洲控股,4011100000000056
000043.SZ,中航地产,4011100000000057
000045.SZ,深纺织Ａ,4011100000000058
000046.SZ,泛海控股,401110000000005a
000048.SZ,康达尔,401110000000005c
000049.SZ,德赛电池,401110000000005d
000050.SZ,深天马Ａ,401110000000005e
000055.SZ,方大集团,401110000000005f
000056.SZ,皇庭国际,4011100000000061
000058.SZ,深 赛 格,4011100000000063
000059.SZ,*ST华锦,4011100000000065
000060.SZ,中金岭南,4011100000000066
000061.SZ,农 产 品,4011100000000067
000062.SZ,深圳华强,4011100000000068
000063.SZ,中兴通讯,4011100000000069
000065.SZ,北方国际,401110000000006a
000066.SZ,长城电脑,401110000000006b
000068.SZ,华控赛格,401110000000006c
000069.SZ,华侨城Ａ,401110000000006d
000070.SZ,特发信息,401110000000006f
000078.SZ,海王生物,4011100000000070
000088.SZ,盐 田 港,4011100000000071
000089.SZ,深圳机场,4011100000000072
000090.SZ,天健集团,4011100000000073
000096.SZ,广聚能源,4011100000000074
000099.SZ,中信海直,4011100000000075
000100.SZ,TCL 集团,4011100000000076
000150.SZ,宜华健康,4011100000000077
000151.SZ,中成股份,4011100000000078
000153.SZ,丰原药业,4011100000000079
000155.SZ,*ST川化,401110000000007a
000156.SZ,华数传媒,401110000000007b
000157.SZ,中联重科,401110000000007c
000158.SZ,常山股份,401110000000007d
000159.SZ,国际实业,401110000000007e
