期货名称,合约编码,uk编码
伦敦铝期货,LRA1608,410a257800000001
伦敦锌期货,LRZ1608,410a257800000002
伦敦铜期货,LRC1608,410a257800000003
伦敦镍期货,LRN1608,410a257800000004
伦敦锡期货,LRS1608,410a257800000005
伦敦铅期货,LRP1608,410a257800000006
伦敦铝期货,LRA1609,410a257900000001
伦敦锌期货,LRZ1609,410a257900000002
伦敦铜期货,LRC1609,410a257900000003
伦敦镍期货,LRN1609,410a257900000004
伦敦锡期货,LRS1609,410a257900000005
伦敦铅期货,LRP1609,410a257900000006
伦敦铝期货,LRA1610,410a257100000001
伦敦锌期货,LRZ1610,410a257100000002
伦敦铜期货,LRC1610,410a257100000003
伦敦镍期货,LRN1610,410a257100000004
伦敦锡期货,LRS1610,410a257100000005
伦敦铅期货,LRP1610,410a257100000006
伦敦铝期货,LRA1611,410a257b00000001
伦敦锌期货,LRZ1611,410a257b00000002
伦敦铜期货,LRC1611,410a257b00000003
伦敦镍期货,LRN1611,410a257b00000004
伦敦锡期货,LRS1611,410a257b00000005
伦敦铅期货,LRP1611,410a257b00000006
伦敦铝期货,LRA1612,410a257c00000001
伦敦锌期货,LRZ1612,410a257c00000002
伦敦铜期货,LRC1612,410a257c00000003
伦敦镍期货,LRN1612,410a257c00000004
伦敦锡期货,LRS1612,410a257c00000005
伦敦铅期货,LRP1612,410a257c00000006
伦敦铝期货,LRA1701,410a257d00000001
伦敦锌期货,LRZ1701,410a257d00000002
伦敦铜期货,LRC1701,410a257d00000003
伦敦镍期货,LRN1701,410a257d00000004
伦敦锡期货,LRS1701,410a257d00000005
伦敦铅期货,LRP1701,410a257d00000006
伦敦铝期货,LRA1702,410a257e00000001
伦敦锌期货,LRZ1702,410a257e00000002
伦敦铜期货,LRC1702,410a257e00000003
伦敦镍期货,LRN1702,410a257e00000004
伦敦锡期货,LRS1702,410a257e00000005
伦敦铅期货,LRP1702,410a257e00000006
伦敦铝期货,LRA1703,410a257f00000001
伦敦锌期货,LRZ1703,410a257f00000002
伦敦铜期货,LRC1703,410a257f00000003
伦敦镍期货,LRN1703,410a257f00000004
伦敦锡期货,LRS1703,410a257f00000005
伦敦铅期货,LRP1703,410a257f00000006
伦敦铝期货,LRA1704,410a258000000001
伦敦锌期货,LRZ1704,410a258000000002
伦敦铜期货,LRC1704,410a258000000003
伦敦镍期货,LRN1704,410a258000000004
伦敦锡期货,LRS1704,410a258000000005
伦敦铅期货,LRP1704,410a258000000006
伦敦铝期货,LRA1705,410a258100000001
伦敦锌期货,LRZ1705,410a258100000002
伦敦铜期货,LRC1705,410a258100000003
伦敦镍期货,LRN1705,410a258100000004
伦敦锡期货,LRS1705,410a258100000005
伦敦铅期货,LRP1705,410a258100000006
伦敦铝期货,LRA1706,410a258200000001
伦敦锌期货,LRZ1706,410a258200000002
伦敦铜期货,LRC1706,410a258200000003
伦敦镍期货,LRN1706,410a258200000004
伦敦锡期货,LRS1706,410a258200000005
伦敦铅期货,LRP1706,410a258200000006
伦敦铝期货,LRA1707,410a258300000001
