期货名称,交易代码,合约编码,uk编码
恒生指数期货,HIS,HIS1608,410a157800000001
H股指数期货,HHI,HHI1608,410a157800000002
小型恒生指数期货,MHI,MHI1608,410a157800000003
恒生股息期货,DHS,DHS1608,410a157800000004
恒生国企股息期货,DHH,DHH1608,410a157800000005
恒指波幅指数期货,VHS,VHS1608,410a157800000006
中华交易服务中国120指数期货,CHH,CHH1608,410a157800000007
IBOVESPA期货,IBOVESPA,IBOVESPA1608,410a157800000008
MICEX指数期货,MICEX,MICEX1608,410a157800000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1608,410a15780000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401608,410a15780000000b
中华交易服务博彩业指数期货,GTI,GTI1608,410a15780000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1608,410a15780000000d
恒生中国内地银行指数期货,MBI,MBI1608,410a15780000000e
恒生中国内地医疗保健指数期货,MCI,MCI1608,410a15780000000f
恒生中国内地地产指数期货,MPI,MPI1608,410a157800000010
恒生软件服务指数期货,SSI,SSI1608,410a157800000011
保利置业集团有限公司,POL,POL1608,410a157800000012
SOHO中国有限公司,SOH,SOH1608,410a157800000013
国美电器,GOM,GOM1608,410a157800000014
复星国际有限公司,FOS,FOS1608,410a157800000015
腾讯控股有限公司,TCH,TCH1608,410a157800000016
神州数码控股有限公司,DIG,DIG1608,410a157800000017
中信银行股份有限公司,CTB,CTB1608,410a157800000018
中国南方航空股份有限公司,SOA,SOA1608,410a157800000019
阿里巴巴影业集团有限公司,ALI,ALI1608,410a15780000001a
中国神华能源股份有限公司,CSE,CSE1608,410a15780000001b
兖州煤业股份有限公司,YZC,YZC1608,410a15780000001c
中国农业银行股份有限公司,ABC,ABC1608,410a15780000001d
新华人寿保险股份有限公司,NCL,NCL1608,410a15780000001e
中国信达资产管理股份有限公司,CDA,CDA1608,410a15780000001f
中国宏桥集团有限公司,CHQ,CHQ1608,410a157800000020
华南城控股有限公司,CTY,CTY1608,410a157800000021
中国中车股份有限公司,CRR,CRR1608,410a157800000022
中国广核电力股份有限公司,CGN,CGN1608,410a157800000023
中国中煤能源股份有限公司,CCE,CCE1608,410a157800000024
融创中国控股有限公司,SUN,SUN1608,410a157800000025
中国民生银行股份有限公司,MSB,MSB1608,410a157800000026
广州汽车集团股份有限公司,GAC,GAC1608,410a157800000027
长城汽车股份有限公司,GWM,GWM1608,410a157800000028
中国航空科技工业股份有限公司,AVI,AVI1608,410a157800000029
CSOP富时中国A50 ETF,CSA,CSA1608,410a15780000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501608,410a15780000002b
中海油田服务股份有限公司,CHO,CHO1608,410a15780000002c
紫金矿业集团股份有限公司,ZJM,ZJM1608,410a15780000002d
华夏沪深300指数ETF,AMC,AMC1608,410a15780000002e
恒大地产集团有限公司,EVG,EVG1608,410a15780000002f
