股份代号,股份名称,买卖单位,UK
1,长和,500,40a1100000000001
2,中电控股,500,40a1100000000002
3,香港中华煤气,"“1,000”",40a1100000000003
4,九龙仓集团,"“1,000”",40a1100000000004
5,汇丰控股,400,40a1100000000005
6,电能实业,500,40a1100000000006
7,凯富能源,"“2,000”",40a1100000000007
8,电讯盈科,"“1,000”",40a1100000000008
9,九号运通,"“6,000”",40a1100000000009
10,恒隆集团,"“1,000”",40a110000000000a
11,恒生银行,100,40a110000000000b
12,恒基地产,"“1,000”",40a110000000000c
14,希慎兴业,"“1,000”",40a110000000000d
15,盈信控股,"“2,000”",40a110000000000e
16,新鸿基地产,"“1,000”",40a110000000000f
17,新世界发展,"“1,000”",40a1100000000010
18,东方报业集团,"“2,000”",40a1100000000011
19,太古股份公司Ａ,500,40a1100000000012
20,会德丰,"“1,000”",40a1100000000013
21,大中华地产控股,"“5,000”",40a1100000000014
22,茂盛控股,"“40,000”",40a1100000000015
23,东亚银行,200,40a1100000000016
24,宝威控股,"“2,000”",40a1100000000017
25,HEVALIER INT'L,"“2,000”",40a1100000000018
26,中华汽车,200,40a1100000000019
27,银河娱乐,"“1,000”",40a110000000001a
28,天安,"“1,000”",40a110000000001b
29,达力集团,"“2,000”",40a110000000001c
30,万隆控股集团,"“2,000”",40a110000000001d
31,航天控股,"“2,000”",40a110000000001e
32,港通控股,"“1,000”",40a110000000001f
33,亚投金融集团,"“2,000”",40a1100000000020
34,九龙建业,"“1,000”",40a1100000000021
35,远东发展,"“1,000”",40a1100000000022
36,远东控股国际,"“3,000”",40a1100000000023
37,远东酒店实业,"“2,000”",40a1100000000024
38,第一拖拉机股份,"“2,000”",40a1100000000025
39,中国北大荒,"“8,000”",40a1100000000026
40,金山工业,"“1,000”",40a1100000000027
41,鹰君,"“1,000”",40a1100000000028
42,东北电气,"“2,000”",40a1100000000029
43,卜蜂国际,"“2,000”",40a110000000002a
44,香港飞机工程,400,40a110000000002b
45,大酒店,500,40a110000000002c
46,科联系统,"“2,000”",40a110000000002d
47,合兴集团,"“4,000”",40a110000000002e
48,中国汽车内饰,"“10,000”",40a110000000002f
50,香港小轮（集团）,"“1,000”",40a1100000000030
51,海港企业,"“1,000”",40a1100000000031
52,FAIRWOOD HOLD,500,40a1100000000032
53,国浩集团,"“1,000”",40a1100000000033
54,合和实业,500,40a1100000000034
55,中星集团控股,"“10,000”",40a1100000000035
56,联合地产（香港）,"“2,000”",40a1100000000036
