挂牌代码,债券全称,上市日期,到期日期,票面利率,UK
120102,01三峡债,2002/4/19,2016/11/8,5.21,4022257b00000001
120201,02三峡债,2003/1/13,2022/9/20,4.76,402225c100000002
120203,02中移(15),2003/1/22,2017/10/27,4.5,4022258600000003
120204,02苏交通,2003/4/18,2017/12/11,4.51,4022258800000004
120301,03沪轨道,2003/9/4,2018/2/19,4.51,4022258a00000005
120303,03三峡债,2004/3/15,2033/7/31,4.86,4022264300000006
120306,03中电投,2004/10/28,2018/12/7,5.02,4022259400000007
120486,04国电⑵,2005/9/8,2019/9/21,5.6,4022259d00000008
120490,04南网⑵,2005/10/26,2019/9/16,5.6,4022259d00000009
120506,05大唐债,2005/8/26,2020/4/28,5.28,402225a40000000a
120508,05铁道债,2005/9/9,2020/7/28,4.85,402225a70000000b
120512,05沪建⑵,2005/9/27,2020/7/26,5.18,402225a70000000c
120527,05武城投,2006/5/22,2020/12/25,4.7,402225ac0000000d
120529,05宁煤债,2006/5/30,2020/9/15,4.9,402225a90000000e
120601,06大唐债,2006/3/16,2026/2/15,4.2,402225ea0000000f
120602,06冀建投,2006/4/18,2026/3/27,4.18,402225eb00000010
120603,06航天债,2006/8/30,2021/4/17,4,402225b000000011
120605,06三峡债,2006/7/20,2026/5/10,4.15,402225ed00000012
120607,06沪水务,2006/8/8,2021/6/28,4.25,402225b200000013
120608,06鲁高速,2007/1/8,2026/4/6,4.1,402225ec00000014
120609,06赣投债,2006/10/19,2021/9/10,4.38,402225b500000015
120610,06合城投,2007/3/30,2016/9/19,4.32,4022257900000016
120701,07世博⑴,2007/3/29,2017/2/14,4.05,4022257e00000017
120702,07世博⑵,2007/3/29,2022/2/14,4.15,402225ba00000018
122000,07长电债,2007/10/12,2017/9/24,5.35,4022258500000019
122001,07海工债,2007/11/19,2017/11/9,5.77,402225870000001a
122004,07华能G3,2008/1/15,2017/12/25,5.9,402225880000001b
122007,08莱钢债,2008/4/18,2018/3/25,6.55,4022258b0000001c
122008,08华能G1,2008/5/21,2018/5/8,5.2,4022258d0000001d
122015,09长电债,2009/8/19,2019/7/30,4.78,4022259b0000001e
122016,09中材债,2009/8/19,2016/7/29,5.4,402225770000001f
122017,09大唐债,2009/9/24,2019/8/17,5,4022259c00000020
122019,09中交G2,2009/9/30,2019/8/21,5.2,4022259c00000021
122021,09广汇债,2009/9/29,2016/8/26,6.95,4022257800000022
122027,09京城建,2009/10/21,2016/9/28,6.8,4022257900000023
122028,09华发债,2009/11/11,2017/10/16,7.6,4022258600000024
122032,09隧道债,2009/11/9,2016/10/21,5.55,4022257a00000025
122037,09三友债,2009/12/18,2017/11/26,6.32,4022258700000026
122041,09招金债,2010/1/15,2016/12/23,5,4022257c00000027
122043,09紫江债,2010/1/20,2017/12/28,6.1,4022258800000028
122046,10中铁G2,2010/3/3,2020/1/27,4.88,402225a100000029
122048,10首机02,2010/3/10,2017/2/3,4.65,4022257e0000002a
122049,10营口港,2010/3/23,2018/3/2,5.9,4022258b0000002b
122050,10杉杉债,2010/4/14,2017/3/26,5.96,4022257f0000002c
122052,10石化02,2010/6/9,2020/5/21,4.05,402225a50000002d
122054,10中铁G3,2010/11/3,2020/10/19,4.34,402225aa0000002e
122055,10中铁G4,2010/11/3,2025/10/19,4.5,402225e60000002f
122057,10龙源02,2010/12/30,2020/12/10,5.05,402225ac00000030
122059,10重钢债,2010/12/31,2017/12/9,6.2,4022258800000031
122060,10银鸽债,2010/12/30,2017/12/22,8.09,4022258800000032
122062,11西矿02,2011/2/18,2021/1/17,5.3,402225ad00000033
122064,11龙源02,2011/3/16,2021/1/21,5.04,402225ad00000034
122066,11大唐01,2011/4/29,2021/4/20,5.25,402225b000000035
122067,11南钢债,2011/5/17,2018/5/6,5.8,4022258d00000036
122069,11海螺02,2011/6/15,2018/5/23,5.2,4022258d00000037
122071,11海航02,2011/6/14,2021/5/24,6.2,402225b100000038
122072,11大连港,2011/6/22,2021/5/23,5.3,402225b100000039
122075,11柳钢债,2011/6/27,2019/6/1,5.7,4022259a0000003a
