基金代码,基金简称,基金管理人,UK编码
510010,治理ETF,交银施罗德基金管理有限公司,4023400000000001
510020,超大ETF,博时基金管理有限公司,4023400000000002
510030,价值ETF,华宝兴业基金管理有限公司,4023400000000003
510050,50ETF,华夏基金管理有限公司,4023400000000004
510060,央企ETF,工银瑞信基金管理有限公司,4023400000000005
510070,民企ETF,鹏华基金管理有限公司,4023400000000006
510090,责任ETF,建信基金管理有限公司,4023400000000007
510110,周期ETF,海富通基金管理有限公司,4023400000000008
510120,非周ETF,海富通基金管理有限公司,4023400000000009
510130,中盘ETF,易方达基金管理有限公司,402340000000000a
510150,消费ETF,招商基金管理有限公司,402340000000000b
510160,小康ETF,南方基金管理有限公司,402340000000000c
510170,商品ETF,国联安基金管理有限公司,402340000000000d
510180,180ETF,华安基金管理有限公司,402340000000000e
510190,龙头ETF,华安基金管理有限公司,402340000000000f
510210,综指ETF,富国基金管理有限公司,4023400000000010
510220,中小ETF,华泰柏瑞基金管理有限公司,4023400000000011
510230,金融ETF,国泰基金管理有限公司,4023400000000012
510260,新兴ETF,诺安基金管理有限公司,4023400000000013
510270,国企ETF,中银基金管理有限公司,4023400000000014
510280,成长ETF,华宝兴业基金管理有限公司,4023400000000015
510290,380ETF,南方基金管理有限公司,4023400000000016
510300,300ETF,华泰柏瑞基金管理有限公司,4023400000000017
510310,HS300ETF,易方达基金管理有限公司,4023400000000018
510330,华夏300,华夏基金管理有限公司,4023400000000019
510360,广发300,广发基金管理有限公司,402340000000001a
510410,资源ETF,博时基金管理有限公司,402340000000001b
510420,180EWETF,景顺长城基金管理有限公司,402340000000001c
510430,50等权,银华基金管理有限公司,402340000000001d
510440,500沪市,大成基金管理有限公司,402340000000001e
510500,500ETF,南方基金管理有限公司,402340000000001f
510510,广发500,广发基金管理有限公司,4023400000000020
510520,诺安500,诺安基金管理有限公司,4023400000000021
510560,国寿500,国寿安保基金管理有限公司,4023400000000022
510580,ZZ500ETF,易方达基金管理有限公司,4023400000000023
510630,消费行业,华夏基金管理有限公司,4023400000000024
510650,金融行业,华夏基金管理有限公司,4023400000000025
510660,医药行业,华夏基金管理有限公司,4023400000000026
510680,万家50,万家基金管理有限公司,4023400000000027
510710,上50ETF,博时基金管理有限公司,4023400000000028
510880,红利ETF,华泰柏瑞基金管理有限公司,4023400000000029
510900,H股ETF,易方达基金管理有限公司,402340000000002a
511010,国债ETF,国泰基金管理有限公司,402340000000002b
511210,企债ETF,博时基金管理有限公司,402340000000002c
511220,城投ETF,海富通基金管理有限公司,402340000000002d
512010,医药ETF,易方达基金管理有限公司,402340000000002e
512070,非银ETF,易方达基金管理有限公司,402340000000002f
512110,中证地产,华安基金管理有限公司,4023400000000030
512120,中证医药,华安基金管理有限公司,4023400000000031
512210,景顺食品,景顺长城基金管理有限公司,4023400000000032
512220,景顺TMT,景顺长城基金管理有限公司,4023400000000033
512230,景顺医药,景顺长城基金管理有限公司,4023400000000034
512300,500医药,南方基金管理有限公司,4023400000000035
512310,500工业,南方基金管理有限公司,4023400000000036
512330,500信息,南方基金管理有限公司,4023400000000037
512340,500原料,南方基金管理有限公司,4023400000000038
512500,中证500,华夏基金管理有限公司,4023400000000039
512510,ETF500,华泰柏瑞基金管理有限公司,402340000000003a
512600,主要消费,嘉实基金管理有限公司,402340000000003b
512610,医药卫生,嘉实基金管理有限公司,402340000000003c
512640,金融地产,嘉实基金管理有限公司,402340000000003d
512990,MSCIA股,华夏基金管理有限公司,402340000000003e
513030,德国30,华安基金管理有限公司,402340000000003f
513100,纳指ETF,国泰基金管理有限公司,4023400000000040
513500,标普500,博时基金管理有限公司,4023400000000041
513600,恒指ETF,南方基金管理有限公司,4023400000000042
513660,恒生通,华夏基金管理有限公司,4023400000000043
518800,黄金基金,国泰基金管理有限公司,4023400000000044
518880,黄金ETF,华安基金管理有限公司,4023400000000045
