期货合约,UK
cu1608,404a257800000001
al1608,404a257800000002
zn1608,404a257800000003
pb1608,404a257800000004
ni1608,404a257800000005
sn1608,404a257800000006
au1608,404a257800000007
ag1608,404a257800000008
rb1608,404a257800000009
wr1608,404a25780000000a
hc1608,404a25780000000b
fu1608,404a25780000000c
bu1608,404a25780000000d
ru1608,404a25780000000e
cu1609,404a257900000001
al1609,404a257900000002
zn1609,404a257900000003
pb1609,404a257900000004
ni1609,404a257900000005
sn1609,404a257900000006
au1609,404a257900000007
ag1609,404a257900000008
rb1609,404a257900000009
wr1609,404a25790000000a
hc1609,404a25790000000b
fu1609,404a25790000000c
bu1609,404a25790000000d
ru1609,404a25790000000e
cu1610,404a257a00000001
al1610,404a257a00000002
zn1610,404a257a00000003
pb1610,404a257a00000004
ni1610,404a257a00000005
sn1610,404a257a00000006
au1610,404a257a00000007
ag1610,404a257a00000008
rb1610,404a257a00000009
wr1610,404a257a0000000a
hc1610,404a257a0000000b
fu1610,404a257a0000000c
bu1610,404a257a0000000d
ru1610,404a257a0000000e
cu1611,404a257b00000001
al1611,404a257b00000002
zn1611,404a257b00000003
pb1611,404a257b00000004
ni1611,404a257b00000005
sn1611,404a257b00000006
au1611,404a257b00000007
ag1611,404a257b00000008
rb1611,404a257b00000009
wr1611,404a257b0000000a
hc1611,404a257b0000000b
fu1611,404a257b0000000c
bu1611,404a257b0000000d
ru1611,404a257b0000000e
cu1612,404a257c00000001
al1612,404a257c00000002
zn1612,404a257c00000003
pb1612,404a257c00000004
ni1612,404a257c00000005
sn1612,404a257c00000006
au1612,404a257c00000007
ag1612,404a257c00000008
rb1612,404a257c00000009
wr1612,404a257c0000000a
hc1612,404a257c0000000b
fu1612,404a257c0000000c
bu1612,404a257c0000000d
ru1612,404a257c0000000e
cu1701,404a257d00000001
al1701,404a257d00000002
zn1701,404a257d00000003
pb1701,404a257d00000004
ni1701,404a257d00000005
sn1701,404a257d00000006
au1701,404a257d00000007
ag1701,404a257d00000008
rb1701,404a257d00000009
wr1701,404a257d0000000a
hc1701,404a257d0000000b
fu1701,404a257d0000000c
bu1701,404a257d0000000d
ru1701,404a257d0000000e
cu1702,404a257e00000001
al1702,404a257e00000002
zn1702,404a257e00000003
pb1702,404a257e00000004
ni1702,404a257e00000005
sn1702,404a257e00000006
au1702,404a257e00000007
ag1702,404a257e00000008
rb1702,404a257e00000009
wr1702,404a257e0000000a
hc1702,404a257e0000000b
fu1702,404a257e0000000c
bu1702,404a257e0000000d
ru1702,404a257e0000000e
cu1703,404a257f00000001
al1703,404a257f00000002
zn1703,404a257f00000003
pb1703,404a257f00000004
ni1703,404a257f00000005
sn1703,404a257f00000006
au1703,404a257f00000007
ag1703,404a257f00000008
rb1703,404a257f00000009
wr1703,404a257f0000000a
hc1703,404a257f0000000b
fu1703,404a257f0000000c
bu1703,404a257f0000000d
ru1703,404a257f0000000e
cu1704,404a258000000001
al1704,404a258000000002
zn1704,404a258000000003
pb1704,404a258000000004
ni1704,404a258000000005
sn1704,404a258000000006
au1704,404a258000000007
ag1704,404a258000000008
rb1704,404a258000000009
wr1704,404a25800000000a
hc1704,404a25800000000b
fu1704,404a25800000000c
bu1704,404a25800000000d
ru1704,404a25800000000e
cu1705,404a258100000001
al1705,404a258100000002
zn1705,404a258100000003
pb1705,404a258100000004
ni1705,404a258100000005
sn1705,404a258100000006
au1705,404a258100000007
ag1705,404a258100000008
rb1705,404a258100000009
wr1705,404a25810000000a
hc1705,404a25810000000b
fu1705,404a25810000000c
bu1705,404a25810000000d
ru1705,404a25810000000e
cu1706,404a258200000001
al1706,404a258200000002
zn1706,404a258200000003
pb1706,404a258200000004
ni1706,404a258200000005
sn1706,404a258200000006
au1706,404a258200000007
ag1706,404a258200000008
rb1706,404a258200000009
wr1706,404a25820000000a
hc1706,404a25820000000b
fu1706,404a25820000000c
bu1706,404a25820000000d
ru1706,404a25820000000e
cu1707,404a258300000001
al1707,404a258300000002
zn1707,404a258300000003
pb1707,404a258300000004
ni1707,404a258300000005
sn1707,404a258300000006
au1707,404a258300000007
ag1707,404a258300000008
rb1707,404a258300000009
wr1707,404a25830000000a
hc1707,404a25830000000b
fu1707,404a25830000000c
bu1707,404a25830000000d
ru1707,404a25830000000e
cu1708,404a258400000001
al1708,404a258400000002
zn1708,404a258400000003
pb1708,404a258400000004
ni1708,404a258400000005
sn1708,404a258400000006
au1708,404a258400000007
ag1708,404a258400000008
rb1708,404a258400000009
wr1708,404a25840000000a
hc1708,404a25840000000b
fu1708,404a25840000000c
bu1708,404a25840000000d
ru1708,404a25840000000e
cu1709,404a258500000001
al1709,404a258500000002
zn1709,404a258500000003
pb1709,404a258500000004
ni1709,404a258500000005
sn1709,404a258500000006
au1709,404a258500000007
ag1709,404a258500000008
rb1709,404a258500000009
wr1709,404a25850000000a
hc1709,404a25850000000b
fu1709,404a25850000000c
bu1709,404a25850000000d
ru1709,404a25850000000e
cu1710,404a258600000001
al1710,404a258600000002
zn1710,404a258600000003
pb1710,404a258600000004
ni1710,404a258600000005
sn1710,404a258600000006
au1710,404a258600000007
ag1710,404a258600000008
rb1710,404a258600000009
wr1710,404a25860000000a
hc1710,404a25860000000b
fu1710,404a25860000000c
bu1710,404a25860000000d
ru1710,404a25860000000e
cu1711,404a258700000001
al1711,404a258700000002
zn1711,404a258700000003
pb1711,404a258700000004
ni1711,404a258700000005
sn1711,404a258700000006
au1711,404a258700000007
ag1711,404a258700000008
rb1711,404a258700000009
wr1711,404a25870000000a
hc1711,404a25870000000b
fu1711,404a25870000000c
bu1711,404a25870000000d
ru1711,404a25870000000e
cu1712,404a258800000001
