期货合约,UK
IF1001,403a152900000001
IH1001,403a152900000002
IC1001,403a152900000003
TF1001,403a152900000004
T1001,403a152900000005
IF1002,403a152a00000001
IH1002,403a152a00000002
IC1002,403a152a00000003
TF1002,403a152a00000004
T1002,403a152a00000005
IF1003,403a152b00000001
IH1003,403a152b00000002
IC1003,403a152b00000003
TF1003,403a152b00000004
T1003,403a152b00000005
IF1004,403a152c00000001
IH1004,403a152c00000002
IC1004,403a152c00000003
TF1004,403a152c00000004
T1004,403a152c00000005
IF1005,403a152d00000001
IH1005,403a152d00000002
IC1005,403a152d00000003
TF1005,403a152d00000004
T1005,403a152d00000005
IF1006,403a152e00000001
IH1006,403a152e00000002
IC1006,403a152e00000003
TF1006,403a152e00000004
T1006,403a152e00000005
IF1007,403a152f00000001
IH1007,403a152f00000002
IC1007,403a152f00000003
TF1007,403a152f00000004
T1007,403a152f00000005
IF1008,403a153000000001
IH1008,403a153000000002
IC1008,403a153000000003
TF1008,403a153000000004
T1008,403a153000000005
IF1009,403a153100000001
IH1009,403a153100000002
IC1009,403a153100000003
TF1009,403a153100000004
T1009,403a153100000005
IF1010,403a153200000001
IH1010,403a153200000002
IC1010,403a153200000003
TF1010,403a153200000004
T1010,403a153200000005
IF1011,403a153300000001
IH1011,403a153300000002
IC1011,403a153300000003
TF1011,403a153300000004
T1011,403a153300000005
IF1012,403a153400000001
IH1012,403a153400000002
IC1012,403a153400000003
TF1012,403a153400000004
T1012,403a153400000005
IF1101,403a153500000001
IH1101,403a153500000002
IC1101,403a153500000003
TF1101,403a153500000004
T1101,403a153500000005
IF1102,403a153600000001
IH1102,403a153600000002
IC1102,403a153600000003
TF1102,403a153600000004
T1102,403a153600000005
IF1103,403a153700000001
IH1103,403a153700000002
IC1103,403a153700000003
TF1103,403a153700000004
T1103,403a153700000005
IF1104,403a153800000001
IH1104,403a153800000002
IC1104,403a153800000003
TF1104,403a153800000004
T1104,403a153800000005
IF1105,403a153900000001
IH1105,403a153900000002
IC1105,403a153900000003
TF1105,403a153900000004
T1105,403a153900000005
IF1106,403a153a00000001
IH1106,403a153a00000002
IC1106,403a153a00000003
TF1106,403a153a00000004
T1106,403a153a00000005
IF1107,403a153b00000001
IH1107,403a153b00000002
IC1107,403a153b00000003
TF1107,403a153b00000004
T1107,403a153b00000005
IF1108,403a153c00000001
IH1108,403a153c00000002
IC1108,403a153c00000003
TF1108,403a153c00000004
T1108,403a153c00000005
IF1109,403a153d00000001
IH1109,403a153d00000002
IC1109,403a153d00000003
TF1109,403a153d00000004
T1109,403a153d00000005
IF1110,403a153e00000001
IH1110,403a153e00000002
IC1110,403a153e00000003
TF1110,403a153e00000004
T1110,403a153e00000005
IF1111,403a153f00000001
IH1111,403a153f00000002
IC1111,403a153f00000003
TF1111,403a153f00000004
T1111,403a153f00000005
IF1112,403a154000000001
IH1112,403a154000000002
IC1112,403a154000000003
TF1112,403a154000000004
T1112,403a154000000005
IF1201,403a154100000001
IH1201,403a154100000002
IC1201,403a154100000003
TF1201,403a154100000004
T1201,403a154100000005
IF1202,403a154200000001
IH1202,403a154200000002
IC1202,403a154200000003
TF1202,403a154200000004
T1202,403a154200000005
IF1203,403a154300000001
IH1203,403a154300000002
IC1203,403a154300000003
TF1203,403a154300000004
T1203,403a154300000005
IF1204,403a154400000001
IH1204,403a154400000002
IC1204,403a154400000003
TF1204,403a154400000004
T1204,403a154400000005
IF1205,403a154500000001
IH1205,403a154500000002
IC1205,403a154500000003
TF1205,403a154500000004
T1205,403a154500000005
IF1206,403a154600000001
IH1206,403a154600000002
IC1206,403a154600000003
TF1206,403a154600000004
T1206,403a154600000005
IF1207,403a154700000001
IH1207,403a154700000002
IC1207,403a154700000003
TF1207,403a154700000004
T1207,403a154700000005
IF1208,403a154800000001
IH1208,403a154800000002
IC1208,403a154800000003
TF1208,403a154800000004
T1208,403a154800000005
IF1209,403a154900000001
IH1209,403a154900000002
IC1209,403a154900000003
TF1209,403a154900000004
T1209,403a154900000005
IF1210,403a154a00000001
IH1210,403a154a00000002
IC1210,403a154a00000003
TF1210,403a154a00000004
T1210,403a154a00000005
IF1211,403a154b00000001
IH1211,403a154b00000002
IC1211,403a154b00000003
TF1211,403a154b00000004
T1211,403a154b00000005
IF1212,403a154c00000001
IH1212,403a154c00000002
IC1212,403a154c00000003
TF1212,403a154c00000004
T1212,403a154c00000005
IF1301,403a154d00000001
IH1301,403a154d00000002
IC1301,403a154d00000003
TF1301,403a154d00000004
T1301,403a154d00000005
IF1302,403a154e00000001
IH1302,403a154e00000002
IC1302,403a154e00000003
TF1302,403a154e00000004
T1302,403a154e00000005
IF1303,403a154f00000001
IH1303,403a154f00000002
IC1303,403a154f00000003
TF1303,403a154f00000004
T1303,403a154f00000005
IF1304,403a155000000001
IH1304,403a155000000002
IC1304,403a155000000003
TF1304,403a155000000004
T1304,403a155000000005
IF1305,403a155100000001
IH1305,403a155100000002
IC1305,403a155100000003
TF1305,403a155100000004
T1305,403a155100000005
IF1306,403a155200000001
IH1306,403a155200000002
IC1306,403a155200000003
TF1306,403a155200000004
