企业债简称,企业债代码,到期日,UK
02电网15,111018,2017/6/19,4012258200000001
02广核债,111019,2017/11/11,4012258700000002
03中铁债,111023,2021/8/25,401225b400000003
05粤交通,111026,2020/6/29,401225a600000004
06鲁能债,111032,2021/7/31,401225b300000005
09华菱债,111050,2019/2/17,4012259600000006
09怀化债,111051,2019/2/18,4012259600000007
09哈城投,111052,2019/3/12,4012259700000008
09兖城投,111057,2016/9/23,4012257900000009
09黄城投,111058,2017/12/31,401225880000000a
09宿建投,111059,2016/12/3,4012257c0000000b
10佳城投,111060,2017/3/9,4012257f0000000c
10并高铁,111062,2020/9/6,401225a90000000d
11富阳债,111063,2018/3/3,4012258b0000000e
11长交债,111064,2018/3/10,4012258b0000000f
11豫中小,111065,2017/2/16,4012257e00000010
14邯中小,111067,2020/7/22,401225a700000011
08中粮债,112004,2018/8/25,4012259000000012
09宜化债,112019,2019/12/17,401225a000000013
10南玻02,112022,2017/10/20,4012258600000014
10煤气02,112024,2017/11/4,4012258700000015
11珠海债,112025,2019/3/1,4012259700000016
11新兴02,112027,2021/3/18,401225af00000017
11鲁西债,112030,2018/7/6,4012258f00000018
11柳工02,112033,2018/7/20,4012258f00000019
11陕气债,112034,2019/7/22,4012259b0000001a
11国脉债,112035,2018/7/26,4012258f0000001b
11三钢01,112036,2018/8/1,401225900000001c
11万方债,112037,2016/8/12,401225780000001d
11锡业债,112038,2018/8/17,401225900000001e
11黔轮债,112039,2017/8/22,401225840000001f
11建能债,112040,2017/8/29,4012258400000020
11冀东01,112041,2018/8/30,4012259000000021
11东控02,112043,2016/9/22,4012257900000022
11中泰01,112044,2018/11/3,4012259300000023
11宗申债,112045,2017/11/14,4012258700000024
11华孚01,112046,2016/11/18,4012257b00000025
11海大债,112047,2016/11/18,4012257b00000026
11凯迪债,112048,2018/11/21,4012259300000027
11安泰01,112049,2016/11/22,4012257b00000028
11报喜01,112050,2016/11/24,4012257b00000029
11报喜02,112051,2018/11/24,401225930000002a
11许继债,112052,2018/11/30,401225930000002b
11新筑债,112053,2016/12/7,4012257c0000002c
11徐工01,112055,2016/12/29,4012257c0000002d
11远兴债,112056,2017/1/17,4012257d0000002e
11东磁债,112057,2017/2/9,4012257e0000002f
11中粮01,112058,2017/2/16,4012257e00000030
11联化债,112059,2019/2/21,4012259600000031
12新都债,112062,2017/3/8,4012257f00000032
12隆平债,112064,2017/3/14,4012257f00000033
12柳工债,112065,2017/3/14,4012257f00000034
11西建债,112066,2017/3/15,4012257f00000035
11冀东02,112067,2020/3/20,401225a300000036
11棕榈债,112068,2017/3/21,4012257f00000037
12明牌债,112069,2017/3/22,4012257f00000038
12中泰债,112070,2019/3/22,4012259700000039
11智光债,112071,2017/3/23,4012257f0000003a
11三钢02,112073,2019/4/9,401225980000003b
12华茂债,112074,2017/4/12,401225800000003c
12雅致01,112075,2017/4/10,401225800000003d
12雅致02,112076,2019/4/10,401225980000003e
12天沃债,112077,2017/4/17,401225800000003f
12太钢01,112078,2017/4/18,4012258000000040
12长安债,112079,2017/4/23,4012258000000041
12万向债,112080,2017/4/25,4012258000000042
11新野01,112081,2017/4/25,4012258000000043
11国星债,112083,2017/5/3,4012258100000044
11万家债,112084,2017/5/15,4012258100000045
12圣农01,112086,2018/5/16,4012258d00000046
12富春01,112088,2017/6/5,4012258200000047
12万丰01,112089,2017/6/4,4012258200000048
12海药债,112092,2017/6/14,4012258200000049
11亚迪01,112093,2017/6/19,401225820000004a
11中利债,112094,2017/6/20,401225820000004b
12康盛债,112095,2017/7/5,401225830000004c
12国创债,112096,2017/7/10,401225830000004d
12亚厦债,112097,2017/7/13,401225830000004e
11新野02,112098,2017/7/13,401225830000004f
12盾安债,112100,2017/7/27,4012258300000050
12安泰债,112101,2017/7/25,4012258300000051
12大康债,112102,2017/8/23,4012258400000052
12海型债,112103,2017/8/17,4012258400000053
12太钢03,112106,2017/8/22,4012258400000054
12云内债,112107,2018/8/27,4012259000000055
12南糖债,112109,2019/9/17,4012259d00000056
12东锆债,112110,2019/10/8,4012259e00000057
12江泥01,112112,2017/10/18,4012258600000058
12冀东01,112113,2017/10/15,4012258600000059
12冀东02,112114,2019/10/15,4012259e0000005a
12冀东03,112115,2022/10/15,401225c20000005b
12中桥债,112116,2017/10/15,401225860000005c
12福发债,112117,2018/10/17,401225920000005d
12金螳01,112118,2017/10/29,401225860000005e
12恒邦债,112119,2017/10/30,401225860000005f
12联发债,112120,2017/10/25,4012258600000060
12景兴债,112121,2019/10/25,4012259e00000061
12中山01,112123,2019/10/29,4012259e00000062
11徐工02,112124,2017/10/26,4012258600000063
12科伦01,112126,2017/11/5,4012258700000064
12华西债,112127,2017/11/5,4012258700000065
12湘金01,112128,2019/11/7,4012259f00000066
12华锦债,112129,2017/11/9,4012258700000067
12华包债,112130,2017/11/26,4012258700000068
12制药债,112132,2017/11/13,4012258700000069
12亚夏债,112133,2017/11/19,401225870000006a
12合兴债,112134,2017/11/16,401225870000006b
12勤上01,112136,2019/12/27,401225a00000006c
12康得债,112137,2017/12/14,401225880000006d
12苏宁01,112138,2017/12/14,401225880000006e
12北新债,112139,2018/12/19,401225940000006f
12基地债,112140,2019/12/17,401225a000000070
12金王债,112141,2017/12/19,4012258800000071
12格林债,112142,2020/12/21,401225ac00000072
12粤电01,112143,2019/1/18,4012259500000073
12晨鸣债,112144,2017/12/26,4012258800000074
13荣信01,112145,2018/1/18,4012258900000075
12希努01,112146,2018/1/21,4012258900000076
12光电债,112148,2018/1/25,4012258900000077
12芭田债,112149,2018/1/25,4012258900000078
12银轮债,112150,2018/1/29,4012258900000079
12科伦02,112153,2018/3/6,4012258b0000007a
12盐湖01,112154,2020/3/6,401225a30000007b
12正邦债,112155,2018/3/7,4012258b0000007c
12中顺债,112156,2018/3/8,4012258b0000007d
12科陆01,112157,2018/3/12,4012258b0000007e
12毅昌01,112160,2018/3/12,4012258b0000007f
13传化债,112161,2018/3/15,4012258b00000080
12粤电债,112162,2020/3/18,401225a300000081
12黑牛01,112163,2018/3/18,4012258b00000082
12德豪债,112165,2018/3/20,4012258b00000083
12河钢02,112166,2018/3/27,4012258b00000084
12莱士债,112167,2018/3/26,4012258b00000085
12三维债,112168,2018/3/22,4012258b00000086
12中财债,112169,2018/4/3,4012258c00000087
12濮耐01,112170,2018/4/12,4012258c00000088
12久联债,112171,2020/4/24,401225a400000089
13普邦债,112172,2018/5/10,4012258d0000008a
12南港债,112173,2018/4/26,4012258c0000008b
13广田01,112174,2018/4/25,4012258c0000008c
13三九01,112175,2018/5/9,4012258d0000008d
13围海债,112177,2018/5/27,4012258d0000008e
13南洋债,112179,2020/5/30,401225a50000008f
12奥飞债,112180,2018/6/7,4012258e00000090
13广发01,112181,2018/6/17,4012258e00000091
13广发02,112182,2018/6/17,4012258e00000092
13广发03,112183,2023/6/17,401225ca00000093
13嘉寓债,112184,2018/6/27,4012258e00000094
13国元01,112186,2018/7/24,4012258f00000095
13国元02,112187,2018/7/24,4012258f00000096
13渤租债,112188,2018/8/15,4012259000000097
12瑞泽债,112189,2018/9/18,4012259100000098
