地方债简称,地方债代码,到期日,UK
青海1608,107001,2026/5/30,401255ed00000001
青海16Z1,107002,2019/5/30,4.01256E+15
青海16Z2,107003,2021/5/30,401255b100000003
青海16Z3,107004,2023/5/30,401255c900000004
青海16Z4,107005,2026/5/30,401255ed00000005
内蒙1605,107006,2019/5/31,4.01256E+15
内蒙1606,107007,2021/5/31,401255b100000007
内蒙1607,107008,2023/5/31,401255c900000008
内蒙1608,107009,2026/5/31,401255ed00000009
河南1605,107010,2019/5/31,401255990000000a
河南1606,107011,2021/5/31,401255b10000000b
河南1607,107012,2023/5/31,401255c90000000c
河南1608,107013,2026/5/31,401255ed0000000d
河南16Z1,107014,2019/5/31,401255990000000e
河南16Z2,107015,2021/5/31,401255b10000000f
河南16Z3,107016,2023/5/31,401255c900000010
河南16Z4,107017,2026/5/31,401255ed00000011
天津1603,107018,2019/6/1,4012559a00000012
天津1604,107019,2021/6/1,401255b200000013
天津1605,107020,2023/6/1,401255ca00000014
天津1606,107021,2026/6/1,401255ee00000015
天津16Z4,107022,2021/6/1,401255b200000016
天津16Z5,107023,2023/6/1,401255ca00000017
天津16Z6,107024,2026/6/1,401255ee00000018
河北1605,107025,2019/6/2,4012559a00000019
河北1606,107026,2021/6/2,401255b20000001a
河北1607,107027,2023/6/2,401255ca0000001b
河北1608,107028,2026/6/2,401255ee0000001c
河北16Z5,107029,2019/6/2,4012559a0000001d
河北16Z6,107030,2021/6/2,401255b20000001e
河北16Z7,107031,2023/6/2,401255ca0000001f
贵州1605,107032,2019/6/3,4012559a00000020
贵州1606,107033,2021/6/3,401255b200000021
贵州1607,107034,2023/6/3,401255ca00000022
贵州1608,107035,2026/6/3,401255ee00000023
湖北16Z3,107036,2021/6/6,401255b200000024
湖北16Z4,107037,2023/6/6,401255ca00000025
湖北1609,107038,2019/6/6,4012559a00000026
湖北1610,107039,2021/6/6,401255b200000027
湖北1611,107040,2023/6/6,401255ca00000028
湖北1612,107041,2026/6/6,401255ee00000029
甘肃1604,107042,2026/6/7,401255ee0000002a
山东16Z5,107043,2019/6/7,4012559a0000002b
山东16Z6,107044,2021/6/7,401255b20000002c
山东16Z7,107045,2023/6/7,401255ca0000002d
山东16Z8,107046,2026/6/7,401255ee0000002e
山东16Z9,107047,2019/6/7,4012559a0000002f
山东1609,107048,2021/6/7,401255b200000030
山东1610,107049,2023/6/7,401255ca00000031
山东1611,107050,2026/6/7,401255ee00000032
重庆16Z3,107051,2019/6/8,4012559a00000033
重庆16Z4,107052,2021/6/8,401255b200000034
重庆16Z5,107053,2023/6/8,401255ca00000035
重庆16Z6,107054,2026/6/8,401255ee00000036
重庆1605,107055,2019/6/8,4012559a00000037
重庆1606,107056,2021/6/8,401255b200000038
重庆1607,107057,2023/6/8,401255ca00000039
重庆1608,107058,2026/6/8,401255ee0000003a
江苏1605,107059,2019/6/14,4012559a0000003b
江苏1606,107060,2021/6/14,401255b20000003c
